JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU,ReqMem
394672,Q06S128P01Ds,dgoncalves,cpu2,CANCELLED by 383200393,48,00:00:00,,00:00:00,1190Mc
394673,Q06S128P24Ds,dgoncalves,cpu2,CANCELLED by 383200393,48,00:00:00,,00:00:00,1190Mc
394674,Q06S128P12Ds,dgoncalves,cpu2,CANCELLED by 383200393,48,00:00:00,,00:00:00,1190Mc
394676,Q06S128P00Ds,dgoncalves,hmem1,FAILED,80,01:54:15,,02:17:18,4800Mc
394676.batch,batch,,,FAILED,80,01:54:15,4.44M,00:00.355,4800Mc
394676.extern,extern,,,COMPLETED,80,01:54:15,0,00:00.001,4800Mc
394676.0,python3,,,FAILED,80,01:54:14,23675.38M,02:17:18,4800Mc
395479,Q06S128P01DsCU,dgoncalves,cpu1,FAILED,48,00:46:39,,04:32:18,1984Mc
395479.batch,batch,,,FAILED,48,00:46:39,4.45M,00:00.425,1984Mc
395479.extern,extern,,,COMPLETED,48,00:46:39,0,00:00.001,1984Mc
395479.0,python3,,,CANCELLED,48,00:46:37,89932.80M,04:32:18,1984Mc
395480,Q06S128P12.0DsCU,dgoncalves,cpu1,FAILED,48,00:00:11,,00:03.689,1984Mc
395480.batch,batch,,,FAILED,48,00:00:11,0,00:00.422,1984Mc
395480.extern,extern,,,COMPLETED,48,00:00:11,0,00:00:00,1984Mc
395480.0,python3,,,FAILED,48,00:00:10,0,00:03.266,1984Mc
395481,Q06S128P06.0DsCU,dgoncalves,cpu1,FAILED,48,00:00:11,,00:03.726,1984Mc
395481.batch,batch,,,FAILED,48,00:00:11,0,00:00.435,1984Mc
395481.extern,extern,,,COMPLETED,48,00:00:11,0,00:00:00,1984Mc
395481.0,python3,,,FAILED,48,00:00:10,0,00:03.290,1984Mc
396491,Q06S128P06DsCU,dgoncalves,cpu1,FAILED,48,00:00:10,,00:03.689,1984Mc
396491.batch,batch,,,FAILED,48,00:00:10,0,00:00.427,1984Mc
396491.extern,extern,,,COMPLETED,48,00:00:10,0,00:00.001,1984Mc
396491.0,python3,,,FAILED,48,00:00:09,0,00:03.260,1984Mc
396492,Q06S128P12DsCU,dgoncalves,cpu1,FAILED,48,00:00:09,,00:03.433,1984Mc
396492.batch,batch,,,FAILED,48,00:00:09,0,00:00.415,1984Mc
396492.extern,extern,,,COMPLETED,48,00:00:09,0,00:00:00,1984Mc
396492.0,python3,,,FAILED,48,00:00:07,0,00:03.017,1984Mc
396493,Q06S128P01DsCU,dgoncalves,cpu1,FAILED,48,00:00:09,,00:03.556,1984Mc
396493.batch,batch,,,FAILED,48,00:00:09,0,00:00.417,1984Mc
396493.extern,extern,,,COMPLETED,48,00:00:09,0,00:00:00,1984Mc
396493.0,python3,,,FAILED,48,00:00:07,0,00:03.137,1984Mc
396507,Q06S10P01DsCU,dgoncalves,hmem1,COMPLETED,48,00:00:41,,01:02.571,4800Mc
396507.batch,batch,,,COMPLETED,48,00:00:41,4.43M,00:00.348,4800Mc
396507.extern,extern,,,COMPLETED,48,00:00:42,0,00:00.001,4800Mc
396507.0,python3,,,COMPLETED,48,00:00:40,1383.29M,01:02.220,4800Mc
396508,Q06S10P01DsCU,dgoncalves,hmem1,COMPLETED,48,00:00:26,,00:59.852,4800Mc
396508.batch,batch,,,COMPLETED,48,00:00:26,0,00:00.340,4800Mc
396508.extern,extern,,,COMPLETED,48,00:00:26,0,00:00.002,4800Mc
396508.0,python3,,,COMPLETED,48,00:00:25,5.18M,00:59.509,4800Mc
396509,Q06S10P01DsCU,dgoncalves,hmem1,COMPLETED,48,00:00:26,,01:01.620,4800Mc
396509.batch,batch,,,COMPLETED,48,00:00:26,0,00:00.332,4800Mc
396509.extern,extern,,,COMPLETED,48,00:00:26,0,00:00.001,4800Mc
396509.0,python3,,,COMPLETED,48,00:00:25,5.18M,01:01.286,4800Mc
396510,Q06S10P01DsCU,dgoncalves,hmem1,COMPLETED,48,00:00:26,,01:00.830,4800Mc
396510.batch,batch,,,COMPLETED,48,00:00:26,0,00:00.341,4800Mc
