JobID,JobName,User,Partition,State,AllocCPUS,Elapsed,MaxRSS,TotalCPU
396559.extern,extern,,,COMPLETED,80,00:03:42,0,00:00.001
396559.0,python3,,,COMPLETED,80,00:03:40,2065.62M,03:34.060
396560,Q06S225P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:52,,03:45.353
396560.batch,batch,,,COMPLETED,80,00:03:52,4.43M,00:00.344
396560.extern,extern,,,COMPLETED,80,00:03:52,0,00:00.001
396560.0,python3,,,COMPLETED,80,00:03:51,1561.18M,03:45.008
396561,Q06S230P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:03:55,,03:47.159
396561.batch,batch,,,COMPLETED,80,00:03:55,4.43M,00:00.320
396561.extern,extern,,,COMPLETED,80,00:03:55,0,00:00:00
396561.0,python3,,,COMPLETED,80,00:03:53,1641.65M,03:46.837
396562,Q06S235P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:01,,03:53.876
396562.batch,batch,,,COMPLETED,80,00:04:01,4.43M,00:00.336
396562.extern,extern,,,COMPLETED,80,00:04:01,0,00:00.001
396562.0,python3,,,COMPLETED,80,00:03:59,1666.22M,03:53.539
396563,Q06S240P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:02,,03:55.283
396563.batch,batch,,,COMPLETED,80,00:04:02,4.43M,00:00.340
396563.extern,extern,,,COMPLETED,80,00:04:02,0,00:00.001
396563.0,python3,,,COMPLETED,80,00:04:00,1700.33M,03:54.942
396564,Q06S245P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:15,,04:07.629
396564.batch,batch,,,COMPLETED,80,00:04:15,4.43M,00:00.338
396564.extern,extern,,,COMPLETED,80,00:04:15,0,00:00.001
396564.0,python3,,,COMPLETED,80,00:04:14,1870.70M,04:07.289
396565,Q06S250P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:12,,04:05.272
396565.batch,batch,,,COMPLETED,80,00:04:12,4.43M,00:00.317
396565.extern,extern,,,COMPLETED,80,00:04:12,0,00:00:00
396565.0,python3,,,COMPLETED,80,00:04:11,2233.45M,04:04.954
396566,Q06S255P01DsCUS,dgoncalves,hmem1,COMPLETED,80,00:04:23,,04:15.816
